feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_13,feature_16,feature_17,feature_18,feature_19,feature_20,feature_22,feature_23,feature_24,target
-2.37376,0.66996,-1.08873,-0.62361,-0.17022,-1.4076499999999998,-0.07605,1.65491,1.65489,-1.49707,1.17586,2.02373,0.06138,0.84391,-0.58328,1.51383,0.72761,1.2445,1.32279,-5.17351,-1.65716,1
0.23227,0.25369,2.17988,-1.44819,1.66269,-0.03031,0.04847,1.142,-2.7176,-0.33469,0.16413,-0.37636,-0.89449,1.1671,1.34196,1.01705,1.50731,0.55462,-2.2641,0.16648,0.30922000000000005,0
-2.37186,1.49728,4.34498,-4.65107,-0.00119,1.13194,1.64986,4.25576,-5.89671,3.22439,-0.83181,-0.33629,0.18279,0.79271,1.01329,-0.63275,-1.27058,6.63989,-2.747,-4.9138,0.070292,0
3.52833,3.97728,-1.67953,-0.03157,2.25976,-1.36138,0.54358,2.1607,0.95932,-4.81416,0.15311,0.2057,-1.03937,0.01084,0.88114,8.82606,-1.56419,-8.77856,-1.88744,-3.83543,1.1351,0
0.33829,1.08129,-0.3975,1.47491,0.14051,-1.19058,-0.58705,-0.06075,-1.3728,0.2117,0.53655,-0.99451,0.76108,0.01217,1.03297,-0.26656,-0.10707,1.11095,-1.6749,0.39394,2.11466,0
-0.43156,-4.00882,0.26611,3.1124020000000003,-1.29968,-0.25765,-0.09397,-2.81124,1.1787,0.74374,0.85069,0.11736,-0.35288,0.48663,-1.43922,-3.66513,-1.00997,0.86948,2.9186,6.86063,2.44754,0
-0.1274,-0.02747,-0.33338,4.07186,1.78571,0.43254,0.63689,0.67565,-1.69532,-0.87266,-0.41256,-0.04727,0.29111,0.09006,1.89932,3.32231,-0.023126000000000025,-0.47192,-2.03563,4.26029,3.33261,0
-1.96458,2.69767,3.21888,-4.58051,-2.31915,2.10393,-0.2253,0.26281,-0.73773,0.33882,-0.38244,-0.37097,-0.65034,0.65408,-0.47245,0.94139,0.408066,-2.62225,-1.67066,-0.13479,2.40223,0
-1.85753,-1.691528,0.81305,0.8867,0.31704,-1.0194779999999999,0.8139,-1.19615,-1.77679,1.76322,0.86531,0.05251,-2.04532,0.0576,1.39681,-4.48633,-1.7503,3.28404,-1.40109,2.29179,1.09425,0
0.7691680000000001,0.05593,-0.17019,4.25179,-0.34567,-1.75359,1.82597,1.85802,-1.99657,-1.06749,2.12192,1.48015,-1.36072,0.33619,1.41573,1.91165,0.57345,0.37992,1.09292,0.33361,2.2348019999999997,0
1.51304,0.06250799999999998,3.4172,-1.56075,1.23119,-0.44846,-0.69038,0.01204,0.38349,0.72081,0.95506,-1.8458,-0.12478,-1.05752,-0.18313,-0.18084,0.173574,-1.9768939999999997,1.35126,1.743,2.69573,0
5.81807,2.6846419999999998,-0.26041,2.21159,1.9409,-2.91861,-0.14112,3.48938,-0.56279,-3.5623,-0.38506,0.03265,0.34078,0.0201,1.2077,8.17393,-0.99846,-8.69376,0.61118,-3.83465,3.23232,0
0.2233,-1.33442,-3.82898,6.7077,1.55289,0.13267,-0.83785,3.04991,0.33,-1.10738,-0.29872,-0.29849,0.7362,-1.54764,0.34136,4.14611,-0.202578,4.99527,3.02467,-0.39324,-0.84131,1
1.345638,0.89719,2.77823,-0.35382,-1.95507,-4.161252,-0.29417,3.09906,-2.45742,1.43616,0.08688,-0.60051,1.34372,-0.13279,2.05682,-2.44553,1.27757,-0.17438,3.61571,-7.01597,2.0818,0
1.20743,1.21768,3.77201,-5.20616,-2.04968,-3.7966980000000006,-0.33034,3.11924,-2.26392,1.47913,1.21432,2.31368,-0.65002,1.53814,0.48672,-3.80205,0.91175,2.23773,3.32993,-9.42447,-2.23773,0
-0.29206,-1.639094,-2.75006,3.8948,-0.53445,0.95915,0.5552,-1.73811,-0.43046,1.36288,0.38249,0.98141,1.68879,0.8236,-0.51002,1.09558,-0.80206,0.59367,-3.18319,1.56185,1.463532,0
-0.40854,-3.0378,1.55035,0.58237,-3.67217,2.56997,-1.2751,0.24387,-0.10299,2.75753,-0.30424,-1.00486,-1.03653,0.92199,1.95868,-0.2505,-1.24992,1.51963,2.63638,1.09405,1.48594,0
1.02126,-0.53886,0.81521,-4.23111,0.77629,-0.2651,1.08458,-5.67529,1.48342,2.14596,0.24157,-1.31355,0.20324,-1.49521,-0.89081,-5.90262,-0.04095,-5.39563,-4.10955,3.27528,0.4243,0
-3.91951,-4.69876,-1.84954,7.61095,-1.38094,0.7678480000000001,0.9447,-0.49661,1.3846,0.40998,-0.79296,-1.65486,-0.40002,0.72999,-0.90697,1.18796,1.4377,2.39337,1.64384,3.69848,4.25799,0
-1.38105,1.2334,3.51281,-5.42942,0.01505,0.07921,0.34511,-0.1091,-2.17116,4.02564,-0.44324,-1.70656,-1.06577,1.02382,-1.30789,-4.23638,0.28923,0.59551,-2.89634,-2.37195,0.599104,0
-0.01104,1.1834660000000001,-1.35587,3.95196,0.87516,-0.84808,1.64775,1.55826,-3.16098,-1.53086,-0.29004,-0.31047,-0.15704,-0.04334,-0.09415,2.656,-0.42371,1.86199,-2.46566,0.94402,1.33902,0
2.623854,2.73211,2.95523,-6.31298,3.80609,-0.25524,-0.14461,0.95469,1.08134,0.2756,0.09293,-0.80787,-0.09971,-0.16317,-0.44735,1.76395,-0.69946,-6.67362,-0.57558,-3.1048,-0.82039,0
-0.637082,-0.36844200000000005,0.55549,-3.3563,0.90469,-0.35113,0.93023,-3.94381,-0.65754,1.99802,-0.00739,-1.01329,-1.0524,0.32209,2.66786,-4.64717,0.1564,-2.07701,-5.47052,1.50018,-0.07095,0
0.02458,-1.82299,0.62406,1.74372,-4.4095,3.09934,-0.23375,-0.3673,-0.51214,-0.48346,1.79908,-0.18098,0.7402,0.50285,1.40441,2.05351,-1.28227,0.11917,1.65082,3.84382,1.63286,0
-2.05106,-0.89397,-0.78213,1.248586,-0.57358,0.545606,-0.50246,-0.18113,-2.4518,1.57322,-0.45954,-0.00162,2.0003,-2.05526,1.05181,-0.72993,-0.13173,2.78529,-3.76464,-0.30611,1.00882,1
1.628988,2.01908,0.51376,2.84572,-1.34419,-3.9456879999999996,0.16253,4.01256,-1.6433,0.02996,-1.3303,0.17289,0.81663,-0.36298,0.45709,0.15886,-1.71334,0.02541,4.11144,-6.5374,2.88045,0
0.55383,-1.7289400000000001,3.22682,-3.20009,-4.68914,3.36837,1.1246,-2.17852,-0.16633,1.12334,-0.1484,-0.58948,1.14626,0.56638,-0.83277,-0.98548,0.3489,-2.15189,0.6592,3.23402,0.7136699999999999,0
-0.59105,-0.803104,1.28314,-1.85159,-1.80395,1.284642,-0.7341,0.62227,-1.09117,2.85523,0.58368,-1.79315,-1.35954,-0.82433,0.29357,-0.46753,-1.7184,0.92388,-0.61917,-1.24865,0.76586,0
2.216188,2.60421,-1.46154,-1.90905,-0.525,-1.867176,-0.40314,0.41756,0.15658,-0.86168,-0.64287,-0.59171,0.56539,-0.61235,-0.1673,2.96251,-0.12813800000000003,-4.861866,-2.52233,-5.12963,0.17934,1
-0.92972,0.466344,-0.41935,0.06642,1.27475,0.8351099999999999,-0.33168,0.82699,-2.73113,-1.36282,-0.94237,0.72006,-0.23254,0.98067,-1.04575,2.0685,1.49019,3.95258,-3.27593,1.09879,-2.44103,1
1.35559,0.17679,2.97233,-0.72301,-0.98647,-2.6804,0.68286,2.75297,0.95647,-0.18798,1.00456,-1.11398,-0.66235,-0.85227,0.07315,-0.30849,0.60815,-1.11374,6.44166,-4.16263,1.02014,0
2.31031,-0.33969,-0.64557,5.02927,1.30632,-0.77992,0.6674,1.59896,-2.57291,-3.0831,0.33609,0.71335,1.18791,-1.12737,0.86788,6.06056,-0.02445,-2.48203,-1.76036,2.53358,3.08087,0
2.45552,-1.01244,0.80014,6.12288,2.3778,0.32595,0.60697,1.58845,2.1112,-3.54921,0.0996,-0.75499,0.94634,1.15857,2.28744,7.78166,0.58853,-6.0907,4.10068,6.51926,5.3879,0
1.82229,0.57361,2.45856,-0.5742,-0.921,-3.68982,-0.19904,1.76165,-0.70285,0.65256,0.57535,-0.37938,-0.53695,0.19931,-0.04514,-2.12306,-0.43102,-1.29571,3.62611,-4.20283,1.62973,0
1.86203,4.93078,2.85279,-10.54868,2.12263,4.65694,1.71888,-0.06574,0.36533,-0.42912,0.51298,0.03037,0.79956,0.30522,-1.04734,4.79213,0.55253,-7.67004,-5.67358,-1.5641,-1.99649,1
1.94632,0.779304,3.09375,-3.94771,0.13417,-1.47913,0.59438,-1.29768,0.04917,-1.6835,0.79707,0.28218,-0.05221,0.9047,0.31654,-0.46633,-0.43847,-5.44049,-0.61995,-0.32878,0.37782,0
1.61161,-0.10720800000000001,4.25081,-2.0870780000000004,2.46747,-0.39908,-0.55618,2.68648,-3.60207,-2.02663,-1.44218,0.40036,-0.67126,0.8532,-1.39148,3.27696,-0.45505,-0.13343,-1.33129,-1.09895,-0.93438,0
-1.4135,-0.7196800000000001,1.41321,0.78584,0.85725,-0.066218,0.29446,-1.43971,-1.81942,-1.0504,0.18875,0.04254,-0.4554,-2.04742,1.11233,-2.01583,0.45064,1.6802,-1.80977,4.7449,0.86432,0
2.71356,1.0868,1.6217,-1.16853,2.38688,-1.04372,-1.27907,0.67294,-3.65682,-0.03595,0.14,-0.42996,-0.84628,-2.31709,2.1254,1.14965,0.05999,-2.23765,-4.14935,-0.12687,1.00792,0
-3.05565,-0.20874,1.45994,-3.11579,0.82122,-0.76318,0.2662,-3.6698,-0.31306,0.36494,0.83791,0.47302,-0.89299,0.25454,0.36229,-3.84712,-0.275448,-1.95527,-5.41181,2.32401,1.41501,0
2.065948,3.76297,-0.05645,-5.43558,0.07141,2.65,0.13006,1.81243,3.486,1.06761,-0.14475,0.63714,0.62121,-2.01801,-0.71805,4.88116,-2.49073,-6.58411,0.85412,-5.78447,-0.74157,1
0.06179,0.65381,2.6755,-2.798676,0.60653,-1.282098,-0.03225,1.4257,-3.90307,1.59693,-1.57082,-0.56041,-0.1594,-0.46944,-0.38602,-2.88079,-0.3988,3.71627,-2.01528,-3.37261,-0.949724,0
-0.47655,0.80127,1.82425,-0.02936,0.34228,-1.648308,-0.11181,1.25998,-0.82056,1.28402,0.81299,-1.0507,-0.78339,-0.50565,-0.91252,-2.42978,-2.2009,1.53346,1.9549,-1.03146,1.34374,0
-1.81798,-2.1052,3.2359,-0.15342,-0.63289,0.48088,2.09166,0.68435,1.30833,-0.8673,0.3513,-0.2568,-2.33707,0.49107,1.33144,-0.64881,2.51162,-0.32106,5.09035,2.54699,0.27037,0
0.51016,-0.14333,1.45397,1.81935,1.65047,-0.62094,-0.38929,0.40862,0.23713,1.16391,1.5347,0.29434,-0.14084,-1.35439,-0.89359,-0.31993,-1.76309,-1.23525,1.59101,2.73118,1.7574,0
0.42376,1.9793500000000002,-0.37873,-1.9383579999999998,1.04384,-0.8194419999999999,-0.78896,-0.16272,-3.70918,-1.03346,-0.72251,0.5483,-0.53841,-0.22966,-0.2314,0.48892,0.1723,-0.724998,-6.52663,-2.00906,-0.98643,0
-3.10552,-0.15649,-2.49663,-1.82234,3.77949,-2.38678,-0.84136,-3.82695,-0.08221,1.01613,0.14687,0.24305,0.60368,0.02217,-0.06497,-6.1755,-0.08378,1.2352259999999997,-6.86112,-0.50881,-2.93725,1
3.41535,3.01429,-1.29116,0.91616,5.372,1.47329,-0.9347,0.66817,0.97475,-4.09512,1.19682,0.43581,0.29506,0.23647,2.38684,10.24949,0.23081,-8.724053999999999,-4.58131,3.35636,2.46596,0
-0.85695,0.23748,-0.25043,2.4013579999999997,4.88856,2.76732,1.09234,-0.31421,-2.95908,-0.8402,-1.15226,-0.20717,0.6742,-0.60136,-0.65342,3.60347,1.66736,1.20583,-6.44408,7.59463,1.20448,0
-0.14944,-0.6282,0.79205,2.49551,-1.41426,-1.87837,0.43909,1.83216,-2.4501,-1.72691,-0.42235,1.30165,-0.07063,2.08898,-1.05916,0.74984,-0.297624,2.33333,1.37607,-0.89513,0.90751,0
-0.31618,0.27615,3.44612,-2.48344,0.19433,-1.455928,0.86331,2.36222,0.59445,-1.53606,-0.79319,0.58812,-1.41261,0.10174,-2.83246,0.7048,0.99639,-2.513774,4.20006,-2.60506,-0.57573,0
-0.966636,0.49234,-0.45222,2.39028,2.73412,1.58956,-1.35022,0.41491,-0.20442,-0.57407,0.78396,-0.53571,0.17766,-0.40839,1.33809,2.72016,-0.140606,0.47709,-1.33827,4.61752,1.4393,0
1.96404,0.77582,0.0933,2.97681,2.6078,-0.391626,0.62201,0.79898,-0.11003,-1.2293,0.68372,-0.80196,-0.228,0.0531,-1.46399,4.74766,-0.71153,-4.49071,-0.83463,3.60377,2.168348,0
2.40006,1.326646,3.12919,-0.57064,-1.13957,-3.70458,-0.15684,4.51482,-1.65844,0.19622,0.67187,1.0194,1.39111,2.26146,0.62458,0.20773,0.52966,0.27389,5.4356,-7.1303,0.79537,0
0.71435,1.39103,-0.43082,1.20223,0.49041,-0.66955,-0.79434,-0.155,-1.77044,0.18586,-0.26829,1.59884,1.23804,-1.37489,0.83289,0.23521,-1.01887,-1.22633,-2.59598,0.97933,2.03088,0
2.93288,0.22715,0.11443,-0.87264,2.46173,-1.7472,-1.42776,-0.99107,2.43165,0.34099,0.84674,0.88491,-1.47819,-0.80533,-0.30261,-3.04025,-0.614494,-1.7564,3.25325,0.41317,-1.75921,1
-0.26379,0.54423,1.56249,-1.86041,4.02255,2.14941,0.49002,0.45962,-2.42959,-0.67735,-1.40197,0.02425,-1.37978,0.86324,0.77731,2.409,1.71409,0.9313,-4.51055,3.37418,-0.497542,0
5.85786,3.90869,0.16914,-1.58255,2.1363,-3.15623,-0.75455,1.31776,1.69247,-2.11374,-1.61396,-1.3823,-1.01035,0.27343,1.74749,4.51526,-0.12583799999999998,-11.08868,0.51513,-4.62993,2.29861,0
1.37293,2.35658,-2.04236,1.00627,4.49626,2.59079,1.60408,-2.04443,2.12836,-3.15797,1.8047,0.02726,0.75654,1.31154,-0.07627,6.55762,1.91725,-5.953376,-5.00894,6.86124,2.19046,0
-3.03854,2.01076,2.63742,-2.57853,0.18856,-0.82767,1.13455,-0.69259,-1.2512,1.24526,0.26677,-0.73188,1.72787,0.12197,0.62945,-3.30561,1.06095,0.925836,-2.37154,0.77774,2.64006,0
1.20837,2.45836,-2.86358,3.25563,1.68011,0.20658,0.97829,-0.49062,-1.63313,-2.58888,-0.45372,0.0987,0.63659,-0.57728,0.04777,4.81056,-0.81256,-3.79557,-5.54422,2.9792,1.684602,0
-0.14271,0.0885,0.14638,1.85507,-0.39445,-0.8086,-2.80289,0.69552,-2.80596,-1.74728,0.24423,-0.24786,0.42943,0.95262,0.0104,1.30005,0.18164,1.14573,-1.77426,0.87167,1.205496,0
0.23764,1.31686,2.49901,-4.04974,-0.71603,-2.26342,1.62772,0.50063,-1.86685,1.83292,1.14818,-1.1285,-0.18554,1.13995,-1.68506,-4.71653,-0.19695,1.29575,0.00654,-4.51086,-0.8646739999999999,0
0.88272,3.63086,-3.30461,1.76036,0.06369,-1.77344,-1.11025,1.67086,-3.93327,-2.42554,1.43386,0.73728,-1.22241,1.25051,-0.25032,3.74667,0.00753,-2.3335,-5.90329,-4.14783,0.819358,0
0.44104,0.1332,1.75372,-0.39147,-2.2458,-2.93126,1.35159,2.75584,-1.79228,-0.96597,-0.66954,0.86535,0.64594,-0.03492,0.19001,-0.05341,0.406104,1.31081,3.3081,-4.57627,0.6492920000000001,0
-2.49814,-3.4957480000000003,-3.02054,7.92535,-0.74717,-1.24685,0.94372,-2.10045,0.97396,0.22642,1.85985,1.35542,0.37808,-0.59325,0.56273,-1.21994,0.43372599999999994,1.54386,0.25462,5.07502,3.9784,0
-1.33245,-1.437354,3.56845,-1.2053,1.32479,-1.05862,1.5306,-0.67095,-1.38149,2.88005,-0.09921,0.09088,1.27439,-0.92821,0.66952,-5.91627,0.37505,4.87755,1.38244,2.63422,0.623406,0
0.85428,0.82289,1.9385,0.18015,0.42445,-1.72346,1.40984,2.69947,-0.50463,-1.29461,0.04763,1.41899,2.07109,-1.08211,0.37646,1.92191,0.93984,-0.7254,2.87146,-2.30387,1.04662,0
-1.40702,2.47145,0.25667,-4.59067,1.62489,1.03367,0.18495,0.29942,0.36431,-2.34602,-1.289,-0.14916,2.1888,-1.14534,-1.3255,2.22239,-0.07639,-0.85709,-2.94779,-2.11698,-2.9243,0
-2.56766,-0.60746,-1.00948,3.77736,1.78775,-0.39247,-0.15966,2.73444,-3.91345,0.46866,0.63715,0.54022,-0.37909,-1.18318,1.16299,2.13506,0.20833400000000002,5.92208,-3.26712,-0.88318,0.81207,0
-1.40933,1.8909,1.37052,-3.655212,2.43269,-2.24064,-1.0874,-3.31315,-2.68937,3.71939,-0.0145,-0.7506,-0.43352,0.58155,0.29327,-8.03406,-1.13157,-0.06983,-7.9215,-1.38977,-0.2658,0
-2.00165,2.4601,-2.77861,2.9060219999999997,1.64915,0.50883,-0.14081,-0.54496,0.35038,-1.47983,-0.93848,0.24719,1.3311,1.24039,0.08434,1.76769,-0.39806,0.02999,-3.29111,1.93941,0.58652,0
-2.92575,-2.28717,-0.96939,3.12095,1.85354,-1.12665,-0.36162,0.80667,-2.17573,2.99523,-2.34093,0.77322,-0.64771,-0.51936,-0.7674,-3.10603,0.40851,7.603424000000001,-1.47516,-0.48609,-0.19459,0
-0.52276,1.42642,-0.3594,-0.54549,1.24547,3.13534,1.19237,-0.00925,-2.10701,-3.77676,-0.25295,-1.13513,-0.45127,-1.76155,-0.98361,4.49297,-1.02367,0.90444,-4.16348,4.46376,-1.84925,1
-2.02361,-1.45142,-1.71489,1.97488,-3.12249,2.91481,-1.18097,0.49667,-1.70789,-2.08833,-0.36693,-1.55111,1.22605,-0.9105,0.2335,6.41189,0.28122,-0.0226,-3.51031,1.34548,1.94428,0
1.79059,-0.21866,-0.34713,6.79126,-2.27298,-2.99194,-0.0968,3.60435,1.55738,-4.04219,0.84078,0.41784,1.4182,0.70821,0.06898,6.16617,0.24105,-3.58578,7.3743,-1.51207,4.59564,0
-0.59608,0.05344,2.09791,-1.19471,-2.3376,2.77271,-0.94305,0.68132,-1.67863,-1.13783,0.41559,-0.05505,-0.67283,0.99049,1.29991,3.40321,0.44328400000000007,-0.88323,-1.05264,1.95251,1.41733,0
-0.25581,-1.40309,2.21747,-0.34244,1.02813,0.2439,0.895,-1.3877,-0.85119,-2.11881,-0.16581,0.05821,2.19595,1.38586,0.42558,0.54785,1.78106,-1.52977,-1.47839,4.73472,0.98697,0
0.16096,0.81495,2.55228,-3.199922,1.73409,-1.005904,-0.94147,1.03828,-1.83402,1.85211,-0.15229,0.44479,0.96461,0.09845,0.66441,-3.05567,0.96121,2.14708,-0.23514,-1.88331,-1.00473,0
1.9511,0.294742,3.04992,-1.87071,1.29452,-1.043568,-0.88801,1.4929,-2.0664,-1.75215,-0.11233,-1.26157,-0.02263,-0.11995,-0.37165,2.1069,0.44550599999999996,-2.41612,-0.55336,-1.26476,0.9077299999999999,0
2.1096939999999997,1.59366,2.24134,-2.93159,1.41976,-1.96668,-0.27989,1.53088,-2.24533,0.81528,0.27801,-0.80182,0.8046,1.05368,1.08539,-0.60866,-0.32577,-1.38089,-1.26852,-3.82284,0.07318,0
-0.55682,0.63161,2.90835,-4.55887,-0.52984,-1.5113,0.52784,-0.13171,-0.94079,1.45157,-0.44336,-0.61084,0.33051,-0.56631,1.0048,-4.36163,-0.16255,0.75723,0.10464,-3.075,-0.97305,0
0.98547,0.63736,-0.00449,1.81212,1.535,0.00904,-0.19543,0.27289,0.52125,-1.73613,-0.21419,-0.8133,0.82545,-0.02021,0.15289,3.39991,0.95074,-3.50713,-0.22701,2.51445,2.30767,0
1.82582,-0.28529,1.38243,3.248724,-0.91212,-2.124854,1.84841,2.9056,-1.13651,-2.52528,-0.00139,-0.28713,-1.08195,-1.46607,1.69622,3.75361,-0.769116,-1.54132,3.55138,-1.16533,2.56153,0
0.6894819999999999,1.88201,-1.24235,-0.12047599999999999,-1.03986,-0.7427699999999999,0.73578,-1.10244,-0.05726,-0.8242,-0.40387,0.92763,1.04087,0.36695,-0.38284,0.26575,-1.36029,-3.5593,-2.1847,-0.84958,1.31072,0
1.31702,0.570052,0.34952,0.82268,0.33972,-0.92449,-1.77334,0.4031,0.44532,-1.34327,-0.58254,-0.56566,-1.42498,-0.75644,-1.36747,1.92523,-0.39713600000000004,-1.703848,0.76734,0.21168,1.251324,1
1.57368,-0.7477,2.24331,1.3085,0.99046,-1.11775,-0.31705,2.06821,0.85684,-2.37135,-0.84983,0.06766,-0.88512,-0.20878,-0.90427,4.05741,-0.51072,-3.4157,3.6582,0.27257,2.26852,0
0.76203,-1.49568,2.06111,-2.16807,-0.97118,1.2811,-1.18659,-1.48267,-0.18075,2.71564,-0.79848,1.04273,0.5517,-0.12003,-1.09993,-3.20461,-0.11374000000000006,-0.11606,0.38902,1.85547,0.15435,0
2.97437,1.81307,1.44031,-2.405,2.67183,-0.66304,0.84214,0.30879,1.09074,-2.07194,-1.82512,-1.31831,1.67777,0.05394,0.30138,3.6393,1.15763,-5.61256,-0.74468,-0.44203,0.94721,0
-0.01193,-3.57811,1.0927,1.07169,-0.66537,1.448078,0.64963,-0.66018,0.99224,2.47575,1.59153,-0.81712,1.15742,-0.21458,-0.13837,-1.09844,-0.5962,0.76438,2.25307,2.34271,0.97489,0
-0.70887,0.6703680000000001,0.59709,0.07953799999999998,1.9669,0.07642,2.18792,-0.90183,-5.47125,-1.30858,0.98595,-0.91027,-2.11593,0.16048,-2.66088,0.3782,0.89757,1.52293,-8.78563,1.73583,-0.39183,0
4.95704,1.107678,2.10754,0.04892,0.62585,-2.40298,-0.5526,2.29472,-3.17772,-1.63055,0.93454,-0.60496,-0.93317,0.12712,-0.36051,3.79352,0.81995,-4.83149,-0.68226,-2.69498,2.222774,0
0.00905,0.90925,4.59224,-7.61452,-1.91142,-2.58439,1.61613,1.60521,-1.38737,1.56306,1.72693,0.55175,-0.43916,-0.49903,-1.02029,-5.11182,-1.44708,1.5995940000000002,2.29568,-8.35059,-2.559478,0
2.79386,1.23819,-1.76678,2.73913,2.7096,0.8801300000000001,-0.66462,-2.10986,-1.57891,-2.33748,-0.58974,0.3183,-1.14395,-0.33266,0.99646,4.61299,0.07847,-7.12943,-6.88849,5.58155,3.70631,0
-2.92508,-3.68216,-2.25931,7.47689,-2.04597,0.94117,1.76422,1.11719,-1.0348,-0.00489,0.66816,-0.58957,-0.76067,-0.91004,0.8193,2.39377,1.31634,5.33038,1.07357,2.60448,2.3688659999999997,0
2.15021,-0.85636,-3.01024,2.40263,-1.48317,-0.53038,0.41743,-1.74756,-0.29775,1.41718,-0.59591,-0.77981,1.54689,0.31835,-0.43252,-3.83898,-0.87294,2.50006,0.63098,0.69138,-1.99665,1
-0.82975,-0.30463,1.9694,-2.557348,-1.90245,2.84513,0.53957,1.03033,-0.30761,1.92803,0.18494,0.17189,0.12753,-0.3179,0.32718,2.07579,-0.48092,-0.86952,-0.40045,-1.2446,1.17398,0
