feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,target
-3.18626,0.35907,0.5321,-3.09743,-1.36418,-0.01457,-1.35999,-4.70833,1.96724,1.0308,0.83188,-0.40578,-0.17242,-0.85158,-0.34052,-1.59298,1.83617,-0.30767,-4.14275,-0.43538,-4.31142,0.0841,-3.94829,2.33441,2.59373,0
-0.32719,1.66743,4.50775,-6.36192,-3.10732,3.00142,-0.24516,-0.38185,-0.27952,1.14776,-1.62448,0.17702,,0.32954,0.96692,,0.4768,1.08295,0.40926,-0.56152,-4.22924,,-0.66889,0.23939,,0
1.10867,1.26689,1.1216,-0.12654,0.14749,-0.76438,0.15679,1.2462,2.32358,-1.76659,-1.53265,-0.62822,,-0.84461,1.60396,2.13818,0.77945,-0.39393,1.3912,1.36645,-2.40016,,4.79554,-0.26831,,1
-3.10993,-0.64569,0.62803,2.16288,-0.37945,,-1.67036,0.60296,-3.11351,-0.60162,-1.12704,-1.56963,,0.92778,-1.19723,,-0.58389,-1.72831,-1.24676,0.81404,6.0459,1.50069,-1.19578,2.69036,0.31327,0
-0.29564,0.25928,1.73625,-1.31797,0.08266,-0.9474,-0.11906,-0.28463,-2.10369,-0.66655,-1.39837,1.11019,,0.29739,,-1.41604,1.26549,2.04213,-1.25724,-0.6669,0.29388,-0.88895,-1.80009,0.47282,0.28611,0
0.35053,3.17441,-0.18935,-2.775,-0.46475,0.70794,-1.2676,0.2326,-4.88965,0.9721,-0.41364,0.01278,1.02029,-0.70523,-0.74579,,1.2424,-0.6663,0.54731,-0.07461,,0.28505,-7.71185,-2.26809,0.19046,0
-3.2107,-2.49139,-1.98706,,-0.10757,-0.68059,-0.03086,1.59766,0.00613,2.04138,-1.50191,-1.50379,-0.73141,0.15096,-0.02593,,-0.94285,0.22258,1.72339,0.5438,2.92403,,0.66879,0.23842,,0
-2.188,-2.80323,-0.22614,2.31494,-0.42115,0.1978,0.90264,-1.07201,-0.88656,1.07212,1.59405,1.22693,,0.43054,-1.67992,,-0.30877,-0.71791,-1.95034,,3.43626,,-0.89281,2.5541,0.67388,0
-2.69183,-0.0157,3.16342,-4.07855,-0.11546,-0.16536,1.31521,-1.79178,-0.42446,2.27216,2.53402,0.33473,,-0.19428,-0.88512,,1.48076,-0.60698,-3.83871,1.97728,-1.18578,,-2.71571,0.40935,,0
,2.31564,2.08084,,1.64276,,-1.52628,1.43112,-1.37477,-0.06272,-1.77373,1.99011,,-1.63947,,-2.02772,0.01831,0.62769,0.70769,-0.49481,-3.28455,,-1.15858,-4.01904,-0.58572,0
-2.67195,-1.24005,-1.7421,4.11974,1.34467,-2.54499,0.6366,-4.16904,-1.71673,-2.0419,0.09107,-0.05469,,-0.58833,0.57753,1.06267,-0.03162,1.05147,-4.80414,-1.44479,,,-4.39538,7.0776,,0
2.18519,,1.71901,-2.4448,1.0302,,-0.34572,2.34413,0.24004,-0.99975,0.71237,-1.41792,-1.64813,2.09356,-0.98787,-0.8967,-0.09522,0.08444,2.21122,,-3.48113,,1.69136,-4.25212,0.14628,0
1.6703,0.38262,3.13758,-5.97882,-0.98573,2.59922,-0.16204,-1.03805,-2.0545,1.35075,1.24878,-1.2711,,-0.10754,-1.20181,,-0.08479,-0.82621,-1.27227,1.30418,-1.20514,,-2.61659,0.67829,,0
0.79156,,1.69449,1.70851,0.41988,,-0.90054,1.76901,-1.52637,-3.67483,0.30411,-0.28242,,-0.75738,,-2.91848,-0.59356,0.2782,4.57125,0.34366,-1.41232,,0.60609,1.02234,1.30882,0
1.52734,,-1.75554,2.72559,2.58475,,-2.29383,-0.48531,0.2773,-1.68866,0.10634,-1.49413,0.16,-1.18119,,,-0.32166,-1.27444,4.60606,0.47846,-5.0572,-2.10564,-3.17974,3.5261,2.91599,0
-0.06886,0.34532,3.15895,-4.34003,3.33964,1.75637,-1.0721,-0.12132,-0.39973,0.50162,0.70461,-0.83243,,0.37801,-0.25915,,0.29698,1.79268,0.18058,0.64864,,,-1.91318,2.15211,,0
,1.53781,-0.65091,0.56475,1.25313,,0.0379,0.07206,-2.77047,1.04507,-0.36807,-1.62981,-0.55405,1.37364,0.41045,-1.33044,0.14578,0.45193,-0.16772,-0.61841,,0.82932,-5.16676,-0.51468,1.89006,0
1.4163,2.92373,4.32308,,0.99272,-1.52602,0.91466,1.30494,-0.4348,0.95248,-0.1945,1.32418,-1.55066,-0.56528,,,0.34727,0.61989,-2.19404,1.51268,-2.83068,,-0.70872,-8.42939,-3.32771,0
-0.77323,0.03416,4.41289,-5.03527,3.54848,0.90324,-0.70984,0.99031,-3.05355,1.04234,-0.47832,-0.34414,-0.46601,2.22085,0.19022,-2.36585,-0.08803,0.03074,-1.35866,-0.60841,2.79992,-0.10573,-2.78428,0.65083,-1.92507,0
-2.03019,-0.51678,-1.77806,4.47956,-1.93199,-0.90527,0.10963,-1.88492,-1.64107,-0.59418,-0.0469,-0.73761,,0.79507,-1.53762,1.54564,-0.89359,-0.34712,-2.11856,0.33597,,,-1.93619,4.06661,2.54166,0
,-2.99963,1.69842,1.52755,0.07131,,0.53897,0.28922,-1.13096,2.02193,-1.59533,0.09315,-0.93516,-0.59324,,-0.09895,0.11186,-0.55763,-2.43973,0.95371,4.56954,,1.0752,1.86136,0.92134,0
0.81987,,-6.04107,,0.09081,-3.11539,-0.14032,2.44707,0.13872,0.14489,-0.28838,-0.53106,0.14256,0.65017,0.53196,,-0.8592,1.04093,-1.59651,-0.00672,9.6985,,6.2239,-1.94077,,1
-0.16937,-2.73232,-0.14488,3.70771,-1.91914,,-1.53268,1.00199,0.75943,2.42904,0.07904,0.68152,,0.5639,,1.18195,2.66578,0.12465,1.16922,,1.40572,-0.39964,3.44328,1.47123,2.43904,0
-0.4857,0.81816,0.60104,-1.4161,2.61002,2.07168,0.00748,-0.50384,0.39152,-3.55406,0.55727,-0.76834,,0.3702,-1.01062,,1.90919,-0.76952,5.0651,-0.31498,-3.4626,,-3.33611,3.67277,,0
-1.24251,-3.48477,-2.16386,6.32975,1.30739,-1.34277,0.01709,-0.31073,-3.23258,0.41465,0.56644,0.3627,,1.16893,,-0.89447,-1.59534,-0.72311,-0.80026,-1.95491,5.3534,-0.74607,-2.93362,2.91184,,0
-1.92822,-0.65839,2.6793,-1.28504,-0.31463,0.18858,1.43255,-1.7427,0.09925,0.25889,0.13557,-0.76105,-1.34158,0.1879,-0.57554,0.27236,-0.72507,-2.5282,-2.88853,0.4738,-0.19571,,0.07072,3.96137,1.74903,0
1.70318,1.13102,3.10136,-4.48657,1.45304,,-1.36392,0.40541,-1.44684,1.14959,-0.3324,0.43911,,0.51879,0.87592,-2.057,-0.81177,-0.68754,-0.65603,,-2.38102,-1.83141,-1.65167,-1.47669,,0
2.73926,1.08673,0.24314,1.51306,-3.14362,-4.86033,1.38083,1.07975,-4.78865,1.16936,0.95086,0.94398,,1.36414,-1.27195,-1.08941,0.80796,0.32199,-3.14758,0.0948,-0.13738,,-1.17164,-5.41257,,0
-1.35476,,0.77381,3.04401,0.12471,,0.22652,0.49825,-1.15973,-2.00064,1.66841,0.35157,1.23795,-0.87233,-0.8158,0.13262,0.30341,1.24567,1.9599,,1.40017,,0.31124,4.24497,1.90092,0
-1.42837,-0.08872,2.35492,-1.08325,1.38512,0.05754,0.64026,1.50816,-0.45641,-0.78766,-0.38081,2.65457,,-0.12806,,,-0.3897,-1.33714,0.62605,-0.24189,1.7947,,1.19259,0.34716,-0.26785,0
-0.59734,-2.80261,1.6874,1.67874,-2.44107,1.88662,1.34059,0.16557,-0.04392,1.42084,1.08787,0.42902,1.41623,0.79322,,1.57045,0.52178,0.8198,-0.98408,,2.83094,,3.75222,3.35641,,0
0.05642,1.11638,2.91763,-5.01105,2.62731,-0.1391,-0.77497,0.57025,-0.67436,-0.36421,1.68636,1.03138,,-1.71827,,-2.19228,-1.7569,-1.36231,-0.28132,-1.0201,-0.75942,,-1.48215,-1.4764,-1.81139,0
,2.21183,1.38141,-2.54442,-0.17235,-2.18348,0.61761,1.48402,1.71576,-1.29813,1.00689,-0.94364,,1.62989,-1.15316,-1.42122,-0.33412,1.6849,2.3362,-0.75953,-6.71433,0.15782,2.54622,-5.02537,1.04113,0
-1.06499,-2.3468,-0.48765,1.93206,-0.8436,1.68949,-1.34308,-0.98045,1.34293,0.15237,2.39752,-0.00193,,0.87688,,-1.42093,1.83956,0.81783,1.99586,,,,-0.11078,2.67229,,0
-1.30136,1.92604,4.10317,-6.15556,0.84898,,0.19115,0.46049,-1.74921,3.81297,0.26993,-0.41528,0.39519,-0.03152,,-1.11886,-0.72677,0.54082,-3.72432,,0.25552,-0.86023,-2.21007,-2.45885,0.68125,0
0.79356,,-1.25351,2.17686,0.24041,-1.23149,-0.83497,0.76733,-2.45304,0.2482,0.45607,-3.10978,,0.36098,1.1948,0.92405,-0.02914,-0.90599,0.19593,,0.51981,-0.9159,-2.19467,-0.48025,,0
-1.11284,,2.47977,-1.62692,-1.32264,,-0.49739,-0.32713,-0.11306,-0.05842,-0.33569,0.92539,,-0.24726,0.11723,-0.96061,0.8378,0.51074,0.55126,-0.94516,-0.32447,,0.43634,2.63728,,0
-0.54434,1.27846,3.89798,-3.30133,-1.99904,2.01157,0.78545,1.99063,-1.81146,2.19084,-0.82341,0.41437,0.01361,-0.67461,,-0.3068,-0.92444,-0.41682,0.30706,-0.75433,0.32159,,0.84756,-0.91343,,0
-2.28908,1.18389,1.50417,-2.5199,1.55627,0.16179,0.3715,0.17924,0.4056,1.18691,-0.24148,-0.39423,,-0.50667,,1.24196,-1.74513,0.80828,-2.38426,-0.90267,2.00763,0.90868,0.02338,-0.08919,-0.59977,0
-0.96699,-0.0755,5.00826,-7.39923,-2.84668,,-1.48589,-1.60724,-0.35625,1.58822,0.03227,-0.58941,,-1.64588,1.30748,-3.75355,0.69344,-1.36566,-1.38983,0.66851,,0.90528,-1.7059,0.48395,,0
-0.60662,,2.01653,-5.26211,2.69423,4.0981,0.45342,1.2476,2.07528,-2.88215,-0.02114,0.62718,,-0.16236,0.49406,-3.06848,-0.34711,0.2135,9.02319,0.18187,-8.64796,-0.14171,-3.5095,1.09296,,1
-1.8789,4.71906,3.49899,-9.16163,1.88892,0.5397,-1.05419,-0.00127,-3.61518,1.32674,0.79122,0.27558,,0.09472,-0.26367,,3.07082,-0.01644,-2.07763,1.4284,-0.65652,,-7.78582,-3.41399,-1.19284,0
2.30564,2.46687,-2.42375,3.21834,0.75128,-1.08788,0.0919,1.23288,-0.20306,-3.66369,-1.63054,1.41721,-1.72656,0.71313,-0.73581,-1.38139,0.7319,-0.21265,6.69653,,-5.65118,,-1.94228,-0.67096,2.55065,0
-1.9124,0.68621,0.44297,0.69438,4.22841,,-2.63002,-0.09983,2.31994,-1.02481,1.69775,-0.31246,-0.60077,0.12965,,1.70995,-0.14641,-0.9934,3.99614,,-1.21345,,-0.52528,6.90573,1.31956,0
-2.17027,2.83238,2.33538,-3.97825,-1.73926,2.77319,0.36931,2.25728,-1.63183,0.35961,-0.15117,0.62883,0.86572,-0.62203,-0.42933,,0.41241,0.21565,4.18412,,-1.54693,-1.6695,-2.79322,-2.67803,1.93397,0
0.12134,-0.20759,-0.06615,-2.19145,-0.00114,0.69691,1.02561,-3.01461,-2.31269,-0.17526,-1.15852,-1.10937,1.13674,0.96213,-0.76689,-1.6916,0.38789,0.64611,-2.65562,-0.13486,0.30584,,-5.42612,2.74022,-1.57752,0
-0.02002,1.44952,5.54621,-6.08386,1.50431,-1.89078,-0.23456,3.91584,0.08286,0.96968,1.83115,-0.19668,,1.35601,,-0.70037,0.68307,-0.01463,-1.39462,0.94632,0.98628,,4.87141,-6.55131,,0
-2.85357,0.7868,-3.15495,5.18606,0.61966,2.12263,0.37975,0.4908,-2.16187,-1.43038,1.99602,-0.2548,,-0.76341,-0.11694,2.0147,-1.00035,-0.82995,3.00758,1.86461,4.72813,0.76246,-3.44304,4.74611,0.84394,0
4.12275,2.08293,-1.20371,1.04552,2.30031,0.022,0.20969,-0.39808,2.71988,-3.58904,0.08723,-1.11362,,1.34706,0.95622,-1.39204,0.32031,-0.59261,7.09934,-1.89906,-10.63502,2.42498,-0.80113,1.86575,2.78992,0
-0.6713,-2.12598,-0.37596,,0.86444,,-1.24559,-0.55258,0.03024,3.27146,-0.14704,-0.55176,1.36787,0.88943,0.04375,,-0.97576,0.68854,-1.5665,-0.3389,0.65529,,-1.08545,0.04046,1.67348,0
1.69407,-0.30645,2.99153,-1.33792,-1.50392,-3.16757,0.1542,1.99326,-0.88882,-0.93762,-0.52846,-1.09407,0.2619,1.46881,-0.05353,-1.79524,0.85799,-0.12442,-0.52812,,,0.74915,3.65285,-4.48868,,0
,-1.17788,1.56565,-0.35349,-1.79152,2.13562,0.17891,1.46915,-2.59162,0.95307,-0.43953,0.03444,,-2.49518,0.21837,-3.87435,-0.34812,-0.76504,3.36029,-0.08905,0.03359,,-2.16647,-0.62158,,0
-0.38981,,0.47185,3.07459,0.96038,0.64341,-1.58897,1.191,-0.66692,-2.32266,2.8074,1.2752,,0.07182,,-0.71876,-1.06127,-0.10617,4.16785,,-0.21188,0.49445,0.29546,3.36453,1.91871,0
0.78656,-0.63955,1.20387,-1.79,-4.72264,3.95589,0.13061,-3.32898,2.82864,-1.56513,-0.19484,-1.33492,-0.01035,-0.48792,-0.67381,,0.18838,-1.28246,2.065,,-6.88445,0.21425,1.06515,5.64113,,0
-2.91641,,-1.10497,2.54158,0.67657,-1.34752,-0.72124,-1.16491,-2.86779,0.03336,0.22633,1.23351,,-2.24467,-2.20903,-0.86346,2.1984,0.35413,-2.19139,-1.50544,3.54803,,-4.665,2.00969,1.2173,0
1.01808,2.632,0.85733,-3.96915,3.10302,-0.45589,-0.44439,0.49348,-2.06008,-1.09243,-0.67891,0.18205,,-0.47245,-0.01241,,0.48106,0.57717,1.64314,2.37475,-2.24154,,-5.13433,-2.20391,,0
-1.09269,0.40624,5.78369,-7.30141,-0.26483,0.96924,0.89131,-1.97229,-1.69835,0.93805,-0.06752,-0.44866,,-1.4067,,,0.66451,0.66953,-5.26644,-0.48984,0.19542,0.27842,-1.41678,2.73739,-0.86516,0
-1.42507,-1.96827,0.38933,2.2904,-5.18521,,-0.40711,-0.68123,-0.67948,-0.36703,-0.16144,-0.54692,,0.80274,2.13562,0.0376,1.57111,0.7191,1.12757,-1.24709,1.04997,-0.35461,1.25699,3.70967,,0
-1.65524,0.78798,3.93479,-5.5883,-0.12245,,0.40522,0.45282,-2.15104,3.86179,-0.64779,0.96544,,-0.31197,1.07579,-0.88883,0.66221,0.76254,-4.3055,,2.49748,,-1.48602,-2.10494,-0.3121,0
-1.68994,-5.18026,-1.90782,6.25352,0.8441,-0.72218,-1.58395,-3.02024,1.57893,0.05938,1.39838,-0.52099,-1.65303,-1.07134,0.51537,,0.06369,1.06287,-3.07556,-0.45424,3.14308,,1.49257,6.88089,0.8743,0
-1.47564,0.37103,0.76245,-2.60269,1.01678,,-0.49752,1.2284,-2.96827,3.07426,-0.02617,-0.76658,-0.64494,-1.57388,0.01867,,0.05537,0.92429,0.49173,0.14774,,1.40581,-5.54151,-4.13002,0.53614,0
-1.19324,0.18527,2.99549,-4.06823,-4.26275,,0.2748,-1.16381,0.72759,-0.16284,0.10434,-0.76818,0.19378,0.25126,-1.33284,-2.34379,-0.79404,2.0235,1.74174,-1.19101,-4.04054,,-0.2614,1.86981,,0
-2.64105,,2.57809,-4.15645,-1.06092,0.91317,0.46222,-3.21778,0.06087,0.03925,-0.41902,-0.15946,,1.17309,1.19349,-3.15126,-1.65598,0.95099,-2.55663,-0.66637,-2.35962,,-3.53828,2.66878,1.14514,0
1.47159,-1.84376,-1.36912,,1.17507,,-1.83442,0.78208,0.16248,0.26014,1.83103,0.21672,-0.38246,0.08616,-0.98789,1.69796,-0.17271,-1.73956,0.97729,,2.89753,,1.98308,1.46176,-1.95418,1
-3.89147,-0.43297,-1.80675,-1.24927,0.31777,-2.19612,-0.61658,-0.35184,-0.89235,-0.34051,-1.74376,-0.49774,,-0.07385,,,1.48308,1.44414,-2.33441,-0.86746,,1.13717,-3.77847,-5.23878,-2.85224,1
1.55458,-0.89408,1.99536,-0.43112,-1.24449,2.16951,-0.44422,1.70996,-3.90988,0.83726,-0.00173,-0.64548,,-0.60547,-0.90494,-0.94303,-0.68309,-1.94388,1.31172,-1.75319,2.93808,0.37177,-0.58534,0.98951,-0.59129,0
0.81493,,1.58216,-2.74655,-0.47571,-3.30071,0.12306,1.64738,-3.3884,2.78042,0.38423,1.05315,,-0.24173,,0.03914,0.88075,1.13473,-4.41471,,1.67662,1.06929,-1.14632,-6.34464,,0
-0.09612,,0.64697,,3.50876,,1.28161,-1.60101,-1.04197,2.79846,0.0935,-0.01178,,-1.05516,0.56658,1.74047,-0.36436,-0.04809,-6.26834,-0.70734,4.70408,,0.22442,3.746,-0.51448,0
0.44735,2.67909,0.54276,-4.01623,-1.22805,1.59234,-1.92807,-2.10107,-1.53146,-0.16983,1.5094,0.19869,,-0.19883,,,-0.17464,-1.18381,-0.65387,-1.34322,-3.02113,,-4.96129,1.23906,,0
-0.94477,-2.40153,1.5988,3.07693,-1.24477,-0.86464,0.39079,0.4124,-1.45921,0.05259,-1.73036,1.48415,,-0.05952,-0.54356,,-0.90318,0.95488,-1.46847,0.29449,3.00569,,2.39661,2.71014,1.92007,0
0.13499,-2.51536,-1.08136,3.59221,-3.52449,2.53563,0.29546,-0.5192,-1.32244,-0.84303,-0.09628,0.21795,,1.59975,0.08475,,-0.42503,0.52027,2.78344,0.12575,0.90085,,-0.3371,3.66636,,0
1.71757,3.08463,1.15611,-4.37182,1.99314,4.07129,0.67065,1.12136,3.14864,-1.5103,-0.08813,0.51375,,1.12944,1.2165,,-1.49314,-0.42438,8.95002,-0.23661,-9.70294,-0.67342,-1.57944,-0.19059,1.63742,1
2.38261,1.0044,-2.88628,1.86265,1.68789,0.43005,-0.83432,3.01444,4.11093,-0.65246,0.45025,-1.63281,-0.67899,0.21919,,0.83774,-0.51711,0.66422,6.44471,,-3.44204,,4.03534,-4.58805,-0.65403,1
-1.22898,0.42098,0.07055,0.09832,1.96573,,-0.4468,-0.05011,-1.40922,-2.07487,-1.39892,-1.41581,0.1165,-1.99042,-0.75259,-0.98423,0.08795,0.04383,2.20511,0.81836,1.15815,0.64285,-3.09243,3.15854,-0.63338,0
1.50624,-0.18953,1.92372,,-5.0112,5.09065,0.27387,-2.77494,1.42553,-2.47722,-1.03617,0.64876,1.37624,0.51577,0.45747,,0.72104,-0.52063,3.53131,1.53522,,1.44359,-0.17885,5.19307,0.77013,0
3.07194,4.22129,0.96801,-6.44709,2.33812,3.14801,1.03049,2.43156,4.54151,0.35297,0.70632,-1.12788,,0.11719,,-2.31833,0.80271,0.41617,8.03517,1.01307,-10.28937,,0.56385,-5.39766,0.21354,1
2.72946,1.1871,0.10749,0.09844,-0.0558,-1.88556,0.57869,-0.11188,-0.86825,-1.99029,-0.19586,-1.44672,0.35919,0.09941,0.01192,-2.16362,0.30628,2.29426,2.09422,-0.2062,-5.18962,,-1.53736,-1.01951,,0
1.15732,,-1.90109,2.25613,1.80864,,0.33958,3.5432,2.65913,-2.8709,-1.13319,-0.14652,1.30393,0.38284,0.20252,,-1.35235,0.26846,10.01271,0.3625,-4.18967,0.17314,1.86376,-1.77874,,1
-0.81706,2.20261,-0.08539,-0.79649,2.12944,0.23379,1.6622,0.79923,-0.4887,0.37457,1.09415,0.80419,,-0.1661,-0.90097,,0.9036,0.05586,0.55136,-0.13119,0.4086,-0.73219,-1.82045,-0.23397,0.15466,0
-2.26936,-1.26714,-1.41813,-2.4007,-1.19201,2.49936,0.16717,-3.07974,-0.88436,-0.43077,-1.00595,-1.49225,,-0.22234,,-1.27187,-0.80683,-0.99163,-2.51373,-0.11935,3.82248,,-4.38269,2.19082,-4.24178,1
-0.44478,0.68585,1.67583,,-1.55749,1.4436,0.05366,-1.85246,-1.61097,1.58769,-2.06974,1.71421,,0.10352,,,-0.81314,0.28779,-1.38744,2.14722,-2.42008,0.97352,-4.77648,-0.26484,0.69605,0
-1.35006,1.35427,1.15081,,-0.25715,-0.98421,0.88493,-0.56164,-2.98743,-0.7379,3.01578,1.55668,,0.40187,2.81786,,-1.25478,0.73888,-1.77191,0.56324,,2.0631,-4.41154,-1.35291,-0.71988,0
-0.55086,-1.07614,1.50816,-0.43558,-0.74739,,-0.45593,-2.29072,-1.07353,-0.70815,-0.07454,0.25395,,-0.60526,0.51059,0.47047,-0.24935,-0.20155,-2.63727,0.57444,0.85744,0.74248,-0.90278,5.14573,0.105,0
0.64335,1.84968,4.35961,-6.31238,2.46063,,1.05561,1.96749,0.41304,2.34798,-0.5503,1.1049,,0.04556,,-0.1725,0.49406,0.22825,-3.07735,-2.26493,-0.58732,-0.22342,2.37002,-5.1793,-1.25783,0
-3.62369,-2.54807,-2.62737,8.03977,2.72291,-2.76522,0.50798,0.71257,-2.12842,0.93292,3.64537,0.18743,,0.33064,1.55116,1.18306,-1.64679,-1.49772,-1.61536,,7.05075,,-1.4992,2.188,,0
,2.77276,0.53366,-3.0163,-0.40559,0.34115,-1.74978,-0.90588,-2.05827,1.22705,1.21904,-0.74889,-1.12819,-2.01627,,-1.17004,-1.00884,0.61358,-1.30448,-0.99689,-1.33115,,-5.09509,-0.76469,1.22573,0
-3.8408,-3.13853,-6.16558,10.8956,0.3873,,-0.42498,-0.21233,0.52314,-2.65203,0.41816,-1.46645,,0.30532,,-0.79312,-1.84368,0.40695,5.37191,0.05833,2.70493,,-2.33483,3.90179,3.10741,0
0.274,-0.36667,2.38871,1.43683,-1.50469,,-0.71193,2.36143,-6.22258,1.71016,0.58122,-0.75312,-0.80184,-1.43007,0.8957,,-1.08449,-0.13864,-3.3986,,4.92452,,-0.81595,-3.05653,1.74615,0
-0.77345,,0.37742,,1.64249,-1.10496,0.68993,-2.99628,2.05419,-2.33475,0.58987,0.66833,,0.12264,0.39804,,1.84374,-1.36671,-1.72736,1.85164,-4.08493,,-2.91221,-0.21787,,1
3.51226,,2.64854,-4.23316,2.50611,-2.42277,0.86706,1.6831,-0.02414,-1.09416,-0.03266,-0.73041,1.38217,-1.06732,-0.14543,-2.75741,-1.37666,-0.22543,1.9779,0.70254,-6.20485,1.80203,0.00128,-4.64359,0.21963,0
-0.07488,,-3.12456,7.67919,0.40788,-0.63756,-0.19974,-0.22045,-2.48609,-0.83606,0.24373,-0.18232,,-0.85833,-1.13424,,-1.5524,0.47776,2.19398,0.22432,0.46241,-1.09299,-3.09647,5.00028,4.44325,0
,,-1.34767,4.81898,-1.5999,-1.46363,0.28922,1.20689,-3.80503,-0.63172,-0.94064,1.22127,-1.30644,-0.19216,,,-1.09351,-1.8237,-0.08755,,4.76038,-0.06969,-1.35257,0.36455,,0
0.2152,0.13389,3.17128,-5.8031,-0.73971,,-0.47864,-0.68864,-2.5918,2.76732,0.49181,1.67252,,0.57803,,-2.77335,0.66086,-0.03194,-2.61499,-0.95544,0.19869,-0.32196,-3.43993,-1.10899,,0
-1.03759,1.62087,3.11488,-3.81035,-0.01496,0.97682,-0.77322,2.38235,-4.61514,2.40694,0.56673,0.82077,,0.37128,1.13861,,-1.00307,0.86776,-1.04609,0.19951,4.05041,,-2.86408,-2.64653,-0.51987,0
4.4972,-3.33957,2.15408,-2.27052,-3.21603,,1.64593,-2.49215,0.22461,-0.68058,0.65793,-0.56585,0.34921,-1.52399,,,-1.05416,0.82021,1.33369,,,-1.70135,1.66717,6.06443,,0
0.79683,,0.26615,-1.8486,-0.85484,1.46417,1.17098,-1.44943,-1.39189,0.61723,-0.51722,-1.07993,,0.70405,-0.6786,-1.2397,2.36077,0.81887,-0.26149,,-1.59519,,-3.39928,1.35779,0.17932,0
0.35444,-3.90024,-1.68218,4.52638,-2.00079,,3.06085,-1.84601,-0.36682,2.34372,-0.37559,0.38845,,-0.98688,0.72518,0.89167,-0.63368,0.71425,-2.33829,0.15724,2.14941,,0.5141,3.28125,1.36634,0
0.67828,1.91923,3.19703,-7.42344,1.94484,,-2.24854,-1.29563,1.51666,1.5566,1.17042,0.37379,,-0.58236,0.48978,-0.73824,-0.35806,0.79843,-2.91116,,-3.676,-0.40867,-0.83825,-1.26901,,0
2.44206,-2.02866,3.20484,-2.71799,-3.80585,4.41896,-1.98284,-0.27153,0.4573,1.29124,-1.25904,1.06314,,0.05546,,-0.04132,-0.20378,-1.27603,1.05333,1.56761,-1.65793,-1.9768,3.56791,2.92797,-0.14749,0
-1.65553,-1.50342,1.29729,0.65493,-2.13047,1.16173,-0.22501,-0.75992,-1.2705,0.05243,-0.16179,-1.09549,,0.63008,0.17911,-1.1026,0.08529,2.22985,-0.26575,0.03474,0.94979,,-0.74885,2.87724,1.79672,0
